Latitude,Longitude,Elevation,Stream Bed Material,Lithology
"27°15'20.6""","76°00'08.6""",438,"Sd,Aeol.Sd",Undiff.Sd.
"27°15'26.3""","76°01'06.0""",437,"Sd,Aeol.Sd",Undiff.Sd.
"27°15'58.4""","76°00'25.2""",435,"Sd,Aeol.Sd",Undiff.Sd.
"27°15'41.2""","76°00'50.0""",440,"Sd,Aeol.Sd",Undiff.Sd.
"27°15'26.4""","76°02'05.2""",439,"Sd,Aeol.Sd",Undiff.Sd.
"27°15'48.8""","76°01'34.6""",445,"Sd,Aeol.Sd",Undiff.Sd.
"27°15'52.8""","76°02'05.2""",446,"Sd,Aeol.Sd",Undiff.Sd.
"27°15'16.8""","76°02'42.2""",430,"Sd,Aeol.Sd",Undiff.Sd.
"27°15'31.8""","76°03'35.4""",454,"Sd,Aeol.Sd",Undiff.Sd.
"27°15'58.7""","76°02'44.9""",450,"Sd,Aeol.Sd",Undiff.Sd.
"27°15'44.8""","76°03'33.6""",457,"Sd,Aeol.Sd",Undiff.Sd.
"27°15'25.0""","76°04'09.5""",455,"Rk,Sd",QUART
"27°15'28.8""","76°04'49.3""",450,"Sd,Aeol.Sd",Undiff.Sd.
"27°15'52.7""","76°03'51.3""",452,"Sd,Aeol.Sd",Undiff.Sd.
"27°15'40.0""","76°04'22.2""",450,"Sd,Aeol.Sd",Undiff.Sd.
"27°15'25.6""","76°05'10.9""",438,"Sd,Aeol.Sd",Undiff.Sd.
"27°15'17.6""","76°05'40.6""",440,"Sd,Aeol.Sd",Undiff.Sd.
"27°15'50.4""","76°04'59.2""",437,"Sd,Aeol.Sd",Undiff.Sd.
"27°15'38.5""","76°05'30.8""",447,"Sd,Aeol.Sd",Undiff.Sd.
"27°15'13.6""","76°06'24.3""",453,"Rk,G,Sd","Undiff.Sd., QUART"
"27°15'24.8""","76°06'47.3""",454,"Sd,Aeol.Sd",Undiff.Sd.
"27°16'00.8""","76°06'14.0""",458,"Sd,Aeol.Sd",Undiff.Sd.
"27°15'37.6""","76°06'43.7""",454,"Sd,Aeol.Sd",Undiff.Sd.
"27°15'29.6""","76°07'22.5""",495,"Rk,G,Sd",QUART
"27°15'19.2""","76°08'06.6""",451,"Rk,G,Sd",QUART
"27°15'48.0""","76°07'34.2""",496,"Rk,G,Sd",QUART
"27°15'35.2""","76°08'30.1""",447,"Rk,G,Sd",QUART
"27°15'13.6""","76°08'41.8""",431,Aeol.Sd,Undiff.Sd.
"27°15'08.0""","76°09'25.9""",427,Aeol.Sd,"Undiff.Sd., QUART"
"27°15'48.8""","76°08'41.8""",486,"Rk,G,Sd",QUART
"27°15'52.8""","76°09'26.8""",418,Aeol.Sd,Undiff.Sd.
"27°17'45.8""","76°04'28.0""",458,Aeol.Sd,"Undiff.Sd., QUA"
"27°17'33.0""","76°04'59.2""",469,"Rk,G,Sd",QUART
"27°17'27.9""","76°05'51.4""",471,Aeol.Sd,Undiff.Sd.
"27°17'47.5""","76°05'06.5""",458,"Rk,Aeol.Sd",QUART
"27°18'10.9""","76°06'00.7""",467,Aeol.Sd,Undiff.Sd.
"27°17'24.4""","76°06'29.4""",444,"Sd,Aeol.Sd",QUART
"27°17'33.2""","76°06'48.2""",451,"Sd,Aeol.Sd",QUART
"27°17'58.0""","76°06'10.8""",468,"Sd, Aeol. Sd, C, Rk",QUART
"27°17'54.8""","76°07'04.2""",468,"Sd,Aeol.Sd",QUART
"27°17'19.4""","76°07'23.4""",464,"Rk,Aeol.Sd",QUART
"27°17'38.0""","76°07'58.5""",496,"Rk,G,Sd",QUART
"27°18'14.0""","76°07'43.2""",467,"Sd,Aeol.Sd",QUART
"27°17'54.8""","76°07'58.5""",497,"Rk,G,Sd",QUART
"27°17'35.6""","76°08'32.8""",511,"Rk,G,Sd",QUART
"27°17'14.8""","76°09'22.3""",464,"Rk,G,Sd",QUART
"27°18'03.6""","76°08'33.7""",504,"Rk,G,Sd",QUART
"27°17'56.9""","76°09'16.5""",483,"Rk,G,Sd",QUART
"27°17'30.8""","76°09'45.8""",508,"Rk,G,Sd",QUART
"27°17'28.4""","76°10'31.0""",440,"Rk,G,Sd","QUART, SCHI"
"27°18'03.0""","76°09'47.6""",491,"Rk,G,Sd",QUART
"27°18'07.2""","76°10'39.2""",453,"Rk,G,Sd","QUART, SCHI"
"27°17'22.0""","76°10'57.9""",441,"Rk,G,Sd","QUART, MB"
"27°17'35.8""","76°11'59.7""",465,"Rk,G,Sd","QUART, MB"
"27°17'54.0""","76°10'58.8""",475,"Rk,G,Sd","QUART, MB"
"27°18'04.4""","76°11'57.3""",481,"Rk,G,Sd","QUART, MB, SCHI"
"27°17'31.2""","76°12'11.2""",446,"Rk,G,Sd",Undiff.Sd.
"27°17'13.2""","76°13'11.2""",494,"Rk,G,Sd","QUART, MB"
"27°18'09.9""","76°12'38.2""",479,"Rk,G,Sd","QUART, MB"
"27°18'04.9""","76°12'54.5""",493,"Rk,G,Sd","QUART, MB"
"27°17'41""","76°13'55.5""",465,"Rk,Sd","QUART, MB"
"27°17'22.8""","76°14'28.9""",444,"Rk,Sd",CARB PHYLL
"27°17'58.9""","76°13'30.3""",526,"Rk,G,Sd","QUART, MB"
"27°17'51.6""","76°14'20.6""",443,"Rk,G,Sd",CARB PHYLL
"27°17'13.2""","76°14'53.1""",436,"Rk,Sd","L.ST,SCHI"
"27°17'50.1""","76°14'40.6""",452,"Rk,Sd",QUART
"27°18'35.1""","76°00'11.5""",462,"Rk,Sd,Clay",QUART
"27°18'25.4""","76°01'10.2""",461,"Sd,Aeol.Sd",QUART
"27°19'13.4""","76°00'03.6""",472,"Sd,Aeol.Sd",Undiff.Sd.
"27°19'03.4""","76°00'57.7""",464,"Sd,Aeol.Sd",Undiff.Sd.
"27°18'24.2""","76°01'29.6""",462,Aeol.Sd,Undiff.Sd.
"27°18'27.4""","76°02'25.7""",479,"Rk,Sd",QUART
"27°19'15.0""","76°01'17.4""",471,Aeol.Sd,Undiff.Sd.
"27°19'04.8""","76°02'00.4""",476,"Sd,Aeol.Sd",Undiff.Sd.
"27°18'31.5""","76°02'36.3""",482,"Rk,Sd",QUART
"27°18'45.4""","76°03'31.7""",475,"Rk,Sd",QUART
"27°19'03.0""","76°02'33.2""",477,"Aeol,All,Clay",QUART
"27°19'15.3""","76°03'32.3""",475,"Rk,Sd",QUART
"27°18'29.7""","76°04'01.5""",462,"Sd,Aeol.Sd",Undiff.Sd.
"27°18'19.0""","76°04'38.6""",472,"Sd,Aeol.Sd",Undiff.Sd.
"27°19'19.5""","76°03'58.5""",468,"Sd,Aeol.Sd",Undiff.Sd.
"27°19'06.4""","76°04'38.8""",463,"Rk,Sd",QUART
"27°18'29.0""","76°05'16.0""",467,"Rk,Sd",QUART
"27°18'41.0""","76°05'54.5""",462,Aeol.Sd,Undiff.Sd.
"27°18'49.7""","76°05'01.1""",456,"Rk,Sd",QUART
"27°18'52.8""","76°05'48.8""",462,"Rk,Sd",QUART
"27°18'29.4""","76°06'08.6""",464,Aeol.Sd,QUART
"27°18'45.6""","76°06'49.5""",465,"Rk,Aeol.Sd",QUART
"27°18'59.0""","76°06'23.1""",462,Aeol.Sd,QUART
"27°19'08.2""","76°07'03.1""",474,"Rk,Aeol.Sd",QUART
"27°18'26.0""","76°07'57.3""",466,"Rk,Sd, Aeol.Sd",QUART
"27°18'30.5""","76°07'34.4""",465,"Rk,Sd",QUART
"27°19'02.2""","76°07'52.2""",468,"Rk,Sd, Aeol.Sd",QUART
"27°19'14.9""","76°08'09.2""",463,"Rk,Sd, Aeol.Sd",QUART
"27°18'32.2""","76°08'34.3""",495,"Rk,G,Sd",QUART
"27°18'32.6""","76°09'32.2""",473,"Rk,G,Sd",QUART
"27°19'08.8""","76°08'37.5""",476,"Rk,G,Sd",QUART
"27°19'07.0""","76°09'32.2""",504,"Rk,G,Sd",QUART
"27°18'27.8""","76°09'52.1""",480,"Rk,G,Sd",QUART
"27°18'26.2""","76°10'26.3""",451,"Rk,G,Sd","QUART, SCHI"
